source	target
KHSRP	PIH1D1
DDX3X	PIH1D1
HSPA9	PIH1D1
RARS	PIH1D1
NCL	PIH1D1
CAPRIN1	PIH1D1
DDX17	PIH1D1
MCM5	PIH1D1
DDX1	PIH1D1
CARS	PIH1D1
PFKP	PIH1D1
SEC23B	PIH1D1
DDX21	PIH1D1
ITGB1	PIH1D1
SF3A1	PIH1D1
RRM1	PIH1D1
MCM3	PIH1D1
EIF3B	PIH1D1
HNRNPUL1	PIH1D1
SRRT	PIH1D1
MTHFD1	PIH1D1
COPB2	PIH1D1
ACTN1	PIH1D1
PSMD1	PIH1D1
PRPF6	PIH1D1
GART	PIH1D1
CSE1L	PIH1D1
SEC24C	PIH1D1
ACLY	PIH1D1
MAP4	PIH1D1
IPO5	PIH1D1
DDB1	PIH1D1
DHX30	PIH1D1
DHX9	PIH1D1
RRP12	PIH1D1
PFAS	PIH1D1
CLUH	PIH1D1
TCOF1	PIH1D1
NUP155	PIH1D1
EIF3A	PIH1D1
HCFC1	PIH1D1
SPTBN1	PIH1D1
DSP	PIH1D1
RANBP2	PIH1D1
BIRC6	PIH1D1
EPPK1	PIH1D1
SF3B3	PIH1D1
SF3B3	CCT2
PRDX2	PIH1D1
PRDX2	CCT3
PRDX2	CCT7
NME1	PIH1D1
NME1	CCT3
NME1	CCT7
NME1	CCT8
SF3B1	PIH1D1
SF3B1	CCT6A
FASN	PIH1D1
FASN	CCT6A
FASN	CCT6B
LARS	PIH1D1
LARS	CCT8
LARS	CCT6A
LARS	HSP90AB1
LARS	RUVBL2
WDR61	PIH1D1
WDR61	PDRG1
WDR61	VBP1
WDR61	PFDN1
WDR61	PFDN2
WDR61	PFDN4
WDR61	PFDN5
WDR61	PFDN6
LMAN1	PIH1D1
LMAN1	RPAP3
LMAN1	PIH1D1
SNRPD1	PIH1D1
SNRPD1	RUVBL1
FBL	PIH1D1
FBL	RUVBL1
FBL	RUVBL2
NOP58	PIH1D1
NOP58	RUVBL1
NOP58	RUVBL2
TXLNA	PIH1D1
TXLNA	RUVBL2
HSPA5	PIH1D1
HSPA5	RUVBL2
JUP	PIH1D1
JUP	RUVBL2
HNRNPU	PIH1D1
HNRNPU	RUVBL2
DYNC1H1	PIH1D1
DYNC1H1	RUVBL2
VCP	PIH1D1
VCP	TCP1
VCP	CCT2
VCP	CCT3
VCP	CCT4
VCP	CCT5
VCP	CCT6A
VCP	CCT7
VCP	CCT8
VCP	RUVBL2
VCP	VBP1
HNRNPL	PIH1D1
HNRNPL	URI1
XPO1	PIH1D1
XPO1	URI1
XPO1	RUVBL1
XPO1	RUVBL2
XPO1	RPAP3
XPO1	WDR92
XPO1	CCT4
XPO1	CCT5
FLNB	PIH1D1
FLNB	VBP1
FLNA	PIH1D1
FLNA	VBP1
FLNA	PFDN2
FLNA	PFDN4
FLNA	PFDN5
YBX1	PIHID1
GTF3C5	POLR2E
PHB	POLR2E
PHB	RUVBL1
PHB	RUVBL2
PHB	TCP1
PHB	CCT2
PHB	CCT3
PHB	CCT4
PHB	CCT5
PHB	CCT6A
PHB	CCT7
PHB	CCT8
PHB	HSP90AB2P
PHB	PIH1D1
NPM1	POLR2E
NPM1	TCP1
NPM1	CCT2
NPM1	PIH1D1
ANAPC1	RPAP3
BICD2	RPAP3
TRAP1	RPAP3
TRAP1	 HSP90AA1
ANAPC2	RPAP3
ANAPC2	PFDN2
RPRD1B	RPAP3
RPRD1B	PFDN2
RPRD1B	PFDN5
RPRD1B	PFDN6
RPRD1B	WDR92
RPRD1B	UXT
HSP90AB2P	RPAP3
HSP90AB2P	PIH1D1
HSP90AB4P	RPAP3
HSP90AB4P	PIH1D1
CAPZB	RPAP3
CAPZB	PIH1D1
PRMT1	RPAP3
PRMT1	PIH1D1
LUC7L2	RPAP3
LUC7L2	PIH1D1
PHGDH	RPAP3
PHGDH	PIH1D1
HSPA6	RPAP3
