protA	protB	qvalues
HNRNPA1	ACADM	0.0
HNRNPA2B1	ACADM	0.0
HNRNPA3	ACADM	0.0
HNRNPAB	ACADM	0.0
HNRNPC	ACADM	0.0
HNRNPD	ACADM	0.0
HNRNPDL	ACADM	0.0
HNRNPF	ACADM	0.0
HNRNPH1	ACADM	0.0
HNRNPH3	ACADM	0.0
HNRNPK	ACADM	0.0
HNRNPL	ACADM	0.0
HNRNPM	ACADM	0.0
HNRNPR	ACADM	0.0
HNRNPU	ACADM	0.0
HNRNPUL2	ACADM	0.0
HPRT1	ACADM	0.0
HSD17B12	ACADM	0.0
HSP90AA1	ACADM	0.0
HSP90AB1	ACADM	0.0
HSPA4L	ACADM	0.0
HSPA5	ACADM	0.0
HSPA6	ACADM	0.0
HSPA8	ACADM	0.0
HSPA9	ACADM	0.0
HSPD1	ACADM	0.0
HSPE1	ACADM	0.0
HSPH1	ACADM	0.0
HUWE1	ACADM	0.0
HYOU1	ACADM	0.0
IARS	ACADM	0.0
ILF2	ACADM	0.0
ILF3	ACADM	0.0
IMMT	ACADM	0.0
IMPDH1	ACADM	0.0
IMPDH2	ACADM	0.0
IPO5	ACADM	0.0
IQGAP1	ACADM	0.0
IRS4	ACADM	0.0
ISYNA1	ACADM	0.0
ITGB1	ACADM	0.0
ITPR3	ACADM	0.0
KARS1	ACADM	0.0
KCTD12	ACADM	0.0
KHSRP	ACADM	0.0
KIF5B	ACADM	0.0
KPNB1	ACADM	0.0
KRT1	ACADM	0.0
KRT2	ACADM	0.0
KRT6C	ACADM	0.0
KRT8	ACADM	0.0
KRT9	ACADM	0.0
KTN1	ACADM	0.0
LAMP2	ACADM	0.0
LANCL1	ACADM	0.0
LARS	ACADM	0.0
LBR	ACADM	0.0
LDHA	ACADM	0.0
LDHB	ACADM	0.0
LGALS3BP	ACADM	0.0
LONP1	ACADM	0.0
LRPPRC	ACADM	0.0
LSM12	ACADM	0.0
LUC7L2	ACADM	0.0
MACF1	ACADM	0.0
MAP1B	ACADM	0.0
MARCKSL1	ACADM	0.0
MARS	ACADM	0.0
MAT2A	ACADM	0.0
MATR3	ACADM	0.0
MCM4	ACADM	0.0
MCM5	ACADM	0.0
MCM6	ACADM	0.0
MCM7	ACADM	0.0
MDH1	ACADM	0.0
MDH2	ACADM	0.0
ME2	ACADM	0.0
MLEC	ACADM	0.0
MRE11	ACADM	0.0
MRPL1	ACADM	0.0
MRPL11	ACADM	0.0
MRPL12	ACADM	0.0
MRPL13	ACADM	0.0
MRPL15	ACADM	0.0
MRPL17	ACADM	0.0
MRPL19	ACADM	0.0
MRPL2	ACADM	0.0
MRPL20	ACADM	0.0
MRPL21	ACADM	0.0
MRPL22	ACADM	0.0
MRPL23	ACADM	0.0
MRPL24	ACADM	0.0
MRPL28	ACADM	0.0
MRPL3	ACADM	0.0
MRPL34	ACADM	0.0
MRPL37	ACADM	0.0
MRPL38	ACADM	0.0
MRPL39	ACADM	0.0
MRPL4	ACADM	0.0
MRPL40	ACADM	0.0
MRPL41	ACADM	0.0
MRPL43	ACADM	0.0
MRPL44	ACADM	0.0
MRPL45	ACADM	0.0
MRPL46	ACADM	0.0
MRPL47	ACADM	0.0
MRPL48	ACADM	0.0
MRPL49	ACADM	0.0
MRPL50	ACADM	0.0
MRPL55	ACADM	0.0
MRPL58	ACADM	0.0
MRPL9	ACADM	0.0
MRPS10	ACADM	0.0
MRPS14	ACADM	0.0
MRPS16	ACADM	0.0
MRPS17	ACADM	0.0
MRPS2	ACADM	0.0
MRPS22	ACADM	0.0
MRPS23	ACADM	0.0
MRPS27	ACADM	0.0
MRPS30	ACADM	0.0
MRPS31	ACADM	0.0
MRPS34	ACADM	0.0
MRPS35	ACADM	0.0
MRPS7	ACADM	0.0
MTA2	ACADM	0.0
MTHFD1	ACADM	0.0
MYH10	ACADM	0.0
MYH9	ACADM	0.0
MYL6	ACADM	0.0
NAP1L1	ACADM	0.0
NCKAP1	ACADM	0.0
NCL	ACADM	0.0
NME1	ACADM	0.0
NPEPPS	ACADM	0.0
NPM1	ACADM	0.0
NSF	ACADM	0.0
NSUN2	ACADM	0.0
NUDC	ACADM	0.0
NUDT21	ACADM	0.0
NUFIP2	ACADM	0.0
NUMA1	ACADM	0.0
NUP107	ACADM	0.0
NUP133	ACADM	0.0
NUP210	ACADM	0.0
NUP85	ACADM	0.0
NUP93	ACADM	0.0
NUP98	ACADM	0.0
OAT	ACADM	0.0
OGDH	ACADM	0.0
P3H1	ACADM	0.0
P4HA1	ACADM	0.0
P4HB	ACADM	0.0
PABPC1	ACADM	0.0
PABPC4	ACADM	0.0
PABPN1	ACADM	0.0
PAICS	ACADM	0.0
PARP1	ACADM	0.0
PC	ACADM	0.0
PCMT1	ACADM	0.0
PDHA1	ACADM	0.0
PDHB	ACADM	0.0
PDIA3	ACADM	0.0
PDIA6	ACADM	0.0
PDRG1	ACADM	0.0
PFDN2	ACADM	0.0
PFDN4	ACADM	0.0
PFDN5	ACADM	0.0
PFDN6	ACADM	0.0
PFKP	ACADM	0.0
PGD	ACADM	0.0
PGK1	ACADM	0.0
PHB	ACADM	0.0
PHB2	ACADM	0.0
PHGDH	ACADM	0.0
PIH1D1	ACADM	0.0
PIP	ACADM	0.0
PKM	ACADM	0.0
PLS3	ACADM	0.0
PNN	ACADM	0.0
PNP	ACADM	0.0
PODXL	ACADM	0.0
POLR1A	ACADM	0.0
POLR1C	ACADM	0.0
POLR2A	ACADM	0.0
POLR2B	ACADM	0.0
POLR2C	ACADM	0.0
POLR2E	ACADM	0.0
POLR2H	ACADM	0.0
POLR3A	ACADM	0.0
POLR3B	ACADM	0.0
POLR3D	ACADM	0.0
PPIB	ACADM	0.0
PPP1CA	ACADM	0.0
PPP1CC	ACADM	0.0
PPP1R7	ACADM	0.0
PPP2R1A	ACADM	0.0
PPP2R2A	ACADM	0.0
PRDX1	ACADM	0.0
PRDX2	ACADM	0.0
PRDX3	ACADM	0.0
PRDX4	ACADM	0.0
PRDX6	ACADM	0.0
PRKCSH	ACADM	0.0
PRKDC	ACADM	0.0
PRMT1	ACADM	0.0
PRMT5	ACADM	0.0
PRPF19	ACADM	0.0
PRPF40A	ACADM	0.0
PRPF8	ACADM	0.0
PSAT1	ACADM	0.0
PSMA1	ACADM	0.0
PSMA2	ACADM	0.0
PSMA4	ACADM	0.0
PSMA6	ACADM	0.0
PSMA7	ACADM	0.0
PSMB1	ACADM	0.0
PSMB2	ACADM	0.0
PSMB5	ACADM	0.0
PSMB6	ACADM	0.0
PSMC1	ACADM	0.0
PSMC2	ACADM	0.0
PSMC3	ACADM	0.0
PSMC4	ACADM	0.0
PSMC5	ACADM	0.0
PSMC6	ACADM	0.0
PSMD1	ACADM	0.0
PSMD11	ACADM	0.0
PSMD12	ACADM	0.0
PSMD13	ACADM	0.0
PSMD14	ACADM	0.0
PSMD2	ACADM	0.0
PSMD3	ACADM	0.0
PSMD4	ACADM	0.0
PSMD6	ACADM	0.0
PSMD7	ACADM	0.0
PSMD8	ACADM	0.0
PTBP1	ACADM	0.0
PTCD3	ACADM	0.0
QARS	ACADM	0.0
